,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,new,size,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,rain,weather,weather_description
285,19902,43.06,-121.469,5/25/2023 12:00:00 AM,Dillon_Creek,c,NWCC,,3119.0,294.88,293.94,1007,32,277.48,88,,2.4,349,,Clouds,overcast clouds
286,19905,34.178,-89.393,6/5/2023 12:00:00 AM,CR_428_and_Hwy_331,c,SAC,y,270.0,304.04,311.04,1009,74,298.86,31,,1.41,92,,Clouds,scattered clouds
287,19911,46.71,-120.653,6/7/2023 12:00:00 AM,OLD_NACHES,c,NWCC,,645.0,304.95,302.77,1007,15,275.15,0,10000.0,3.6,270,,Clear,clear sky
288,19912,40.742,-77.064,6/4/2023 12:00:00 AM,Game_Refuge_Trail,c,EACC,,163.0,293.32,293.56,1016,83,290.34,75,10000.0,3.6,80,,Clouds,broken clouds
289,19913,29.23,-81.689,5/8/2023 12:00:00 AM,Major,c,SAC,,4952.0,297.44,297.44,1020,58,288.66,5,,3.1,109,,Clear,clear sky
290,19914,43.226,-116.135,6/7/2023 12:00:00 AM,OTR_1,c,GBC,y,500.0,303.67,302.67,1004,33,285.59,97,,2.01,224,,Clouds,overcast clouds
291,19932,34.572,-110.969,5/24/2023 12:00:00 AM,Willow,c,SWC,,1354.0,295.8,294.83,1011,27,275.87,19,,4.01,221,0.27,Rain,light rain
292,19933,46.73,-119.335,6/6/2023 12:00:00 AM,SADDLE_MOUNTAIN,c,NWCC,,619.0,306.67,304.2,1010,11,272.31,0,,2.95,1,,Clear,clear sky
293,19935,34.511,-88.159,6/8/2023 12:00:00 AM,County_Road_68_Belmont,c,SAC,y,120.0,303.18,302.45,1006,36,286.49,36,,1.79,311,,Clouds,scattered clouds
294,19945,39.833,-74.9,6/12/2023 12:00:00 AM,Buzby_Boggs,c,EACC,y,700.0,299.81,299.81,1009,52,289.15,0,10000.0,2.06,0,,Clear,clear sky
295,19946,39.927,-74.473,6/12/2023 12:00:00 AM,City_Line,c,EACC,y,850.0,299.09,298.94,1009,46,286.59,0,10000.0,5.66,200,,Clear,clear sky
296,19948,35.117,-111.955,6/1/2023 12:00:00 AM,Volunteer,,SWC,,2675.0,291.23,289.69,1006,23,270.18,46,,4.73,183,,Clouds,scattered clouds
297,19965,29.085,-81.246,6/14/2023 12:00:00 AM,CLARK_BAY_CONSERVATION,c,SAC,y,126.0,304.26,305.75,1013,49,292.29,0,10000.0,3.09,270,,Clear,clear sky
298,19973,38.88,-78.761,6/11/2023 12:00:00 AM,Falls_Ridge,,SAC,,270.0,296.68,296.32,1010,47,284.73,33,,1.1,309,,Clouds,scattered clouds
299,19977,45.908,-119.153,6/14/2023 12:00:00 AM,Hat_Rock,c,NWCC,,16816.0,300.58,299.89,1007,31,281.97,0,10000.0,13.89,250,,Clear,clear sky
